,contentId,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
10,1441248639512899483,One Dollar Board: Um projeto brasileiro para revolucionar a educação,11 Internet of Things (IoT) Protocols You Need to Know About,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,Comercial japonês cria cidade de papel com caneta que conduz eletricidade
11,-5924996404988010,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery","5 awesome Google Keep features you aren't using, but should be",The AI business landscape,Here's proof that Google is getting serious about battling Facebook in a key area,"Google launches Springboard, an AI-powered assistant for its enterprise customers",The Physical Web
12,-4205346868684833897,"Google launches Springboard, an AI-powered assistant for its enterprise customers","Google acquires Synergyse, an interactive training service for Google Apps",The AI business landscape,"Hello, a nova rede social do Orkut, está liberada no Brasil","Secret's founder returns with Bold, a Medium for enterprise",5 reasons your employees aren't sharing their knowledge
13,4761910285123871012,Bot Engine,5 reasons your employees aren't sharing their knowledge,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Top 10 Intranet Trends of 2016,Nespresso
14,5688279681867464747,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Building more accessible technology,Making open source data more available,"Secret's founder returns with Bold, a Medium for enterprise",Designing smart notifications,The AI business landscape
15,-7681408188643141872,The End Of Apps As We Know Them - Inside Intercom,An overview of web service solutions in Drupal 8,Confused by blockchains? Revolution vs Evolution,Brazil's Bank Itaú Joins R3 Blockchain Consortium - CoinDesk,You won't recognize the new world of digital payments without this report,"No, Apple isn't the next BlackBerry - it's the next Microsoft"
16,-7331393944609614247,Here's proof that Google is getting serious about battling Facebook in a key area,The AI business landscape,Touch (TV Series 2012-2013),The return of the machinery question,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,Text summarization with TensorFlow
17,-9192549002213406534,Chrome OS now has Material Design for the desktop,Elastic Stack 5.0.0 Released,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br","Hello, a nova rede social do Orkut, está liberada no Brasil",A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
18,-7613994611628693820,CMN regulamenta abertura de conta de depósito por meio eletrônico,Mobile banking conquista o coração dos brasileiros,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,"Say goodbye to traditional customer segmentation "" Banking Technology",Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão
19,-5636731245639685654,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,How to Create an Exponential Mindset,This startup uses machine learning and satellite imagery to predict crop yields,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Creating value in auto finance with vLendRight | Kevin Moseri,Why image recognition is about to transform business
20,7229629480273331039,"An independent organization just ranked Google as the best cloud, beating Amazon",9 Non-Threatening Leadership Strategies for Women,Top 10 Intranet Trends of 2016,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Two Different Sales Motions . . . .
21,7620697593009487898,Spotify UI built with HTML / CSS - Freebiesbug,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Progressive Web App - first introduced on Google I/O | airberlin,Touch (TV Series 2012-2013),How I sped up the initial render of my Polymer app by 86%,The AI business landscape
22,-861913102049789637,Transfer Style But Not Color,Google's Cloud Machine Learning service is now in public beta,Scala is the new golden child,Google lags behind Amazon and Microsoft's cloud in one important area,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Machine Learning Is No Longer Just for Experts
23,-8518096793350810174,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",Staying one step ahead at Pixar: An interview with Ed Catmull,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",A digital crack in banking's business model,Joel on Software,Ordering coffee in Italy: the 10 commandments
24,2048657552251060795,Creating value in auto finance with vLendRight | Kevin Moseri,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,The economic essentials of digital strategy,Goodbye accountants! Startup builds AI to automate all your accounting
25,3269302169678465882,The barbell effect of machine learning.,Making open source data more available,The AI business landscape,"Hello, TensorFlow!",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Machine Learning Is Redefining The Enterprise In 2016
26,-4228415104574264137,Up your app's sharing game with DirectShare - Google Developers,Firebase Test Lab for Android,Post: Just Say mNo to Hungarian Notation,Getting Started with Activity & Fragment Transitions (part 1),Designing smart notifications,Building more accessible technology
27,5206308811707978799,The rise of APIs,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Two Different Sales Motions . . . .,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,7 Questions to Ask Before Your Next Digital Transformation,The return of the machinery question
28,-4070599188332885701,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,Communication patterns in a Microservice world,Cracking the Job Interview with TensorFlow,Bring Your App To Life with CALayers,System Code Geeks are giving away a FREE Sublime Text Editor License,Google is testing a new Material Design layout for desktop searches
29,5964888566269323942,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The economic essentials of digital strategy,The new tech talent you need to succeed in digital,Mobile Time,How to Create an Exponential Mindset,Liberty vai adotar telemetria e baratear seguro para bons motoristas
30,8657408509986329668,Pull request first - Practical Blend,Post: Just Say mNo to Hungarian Notation,The Importance of Code Reviews,Sam Newman - Backends For Frontends,Firebase Test Lab for Android,Creating Your Code Review Checklist - DaedTech
31,3611701510490148233,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,Confused by blockchains? Revolution vs Evolution,An operating model for company-wide agile development,Making open source data more available,Staying one step ahead at Pixar: An interview with Ed Catmull,Accidental discovery could help batteries last years longer
32,1415230502586719648,Machine Learning Is Redefining The Enterprise In 2016,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,The barbell effect of machine learning.,"Hello, TensorFlow!",How enterprise architects can help ensure success with digital transformations,The Internet of Things is looking for its VisiCalc
33,-5997769775112032630,How bot-to-bot could soon replace APIs,The rise of APIs,Assessing Salesforce's platform and ecosystem | ZDNet,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,Cracking the Job Interview with TensorFlow
34,-3027055440570405664,Joel on Software,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,What to Expect at WWDC 2016,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
35,-387651900461462767,Android irá recomendar aplicativos baseado na localização | Google Discovery,"Fresco, sim! - Android Dev BR",Up your app's sharing game with DirectShare - Google Developers,It's The Future,StrictMode for Runtime Analysis on Android - Google Developers,Cracking the Job Interview with TensorFlow
36,3818189513627822856,"Autofill: What web devs should know, but don't",How I sped up the initial render of my Polymer app by 86%,Aplicação de visão computacional com OpenCV,Acesse a versão Material Design do YouTube | Google Discovery,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",JavaScript Conquered the Web. Now It's Taking Over the Desktop
37,-5148591903395022444,Anti-If: The missing patterns,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Berners-Lee quer criar outra Web,Chrome OS now has Material Design for the desktop,You don't talk about refactoring club,What Color is Your Function?
38,2555983212310147009,The Definitive Guide to Database Version Control,Google segue Microsoft e lança ferramenta analítica grátis,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,The Continuous Delivery Maturity Model,Angular 2 versus React: There Will Be Blood - Free Code Camp
39,6437568358552101410,Tech in Brazil is booming despite the country's political troubles,How to Design a Walkthrough That Users Will Read,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption","No, Apple isn't the next BlackBerry - it's the next Microsoft",The barbell effect of machine learning.,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack"
40,-21036008762564671,The sales secrets of high-growth companies,Is FinTech Forcing Banking to a Tipping Point?,Meet the new Brazilian consumer,Two Different Sales Motions . . . .,Why the customer experience matters,Latin America's chronic inefficiency could drive more O2O commerce growth
41,-5784991738549272379,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,11 Internet of Things (IoT) Protocols You Need to Know About,One Dollar Board: Um projeto brasileiro para revolucionar a educação,How to finish 3D printed PLA objects,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom
42,2858969450431709251,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Being A Developer After 40 - Free Code Camp,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Google's Cloud Machine Learning service is now in public beta,Scala is the new golden child,Joel on Software
43,6583734846225935852,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Why Is Learning Drupal Hard?,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Apple Releases First Preview of Swift 3.0 for Developers,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery
44,809601605585939618,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Microsoft's Open Source Love Affair Reaches New Heights,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,My experience with Google's Associate Android Developer Certification
45,-6255158415883847921,"Para neurociência, motivação não é fator principal em mudança de hábitos",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,What Science Tells Us About Leadership Potential,O que você deve fazer para se tornar um líder melhor?,Cinco competências comportamentais para você ser um bom líder
46,-4089455027188314262,Python Is Not Java (dirtSimple.org),Assista a entrevista de Linus Torvalds no TED legendada,Firebase and Google Cloud: better together,How Do Top Android Developers QA Test Their Apps?,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic
47,3268064929368559554,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Why Is Learning Drupal Hard?,Criando ícones animados no Android,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Deputada mais jovem da Câmara silencia o plenário com lucidez do discurso (veja o vídeo)
48,-1730766821655383888,Accidental discovery could help batteries last years longer,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,Making open source data more available,Confused by blockchains? Revolution vs Evolution,Bots won't replace apps. Better apps will replace apps.,The End Of Apps As We Know Them - Inside Intercom
49,-4944551138301474550,Algorithms and architecture for job recommendations,Machine Learning Is No Longer Just for Experts,AI Is Here to Help You Write Emails People Will Actually Read,Google's Cloud Machine Learning service is now in public beta,Text summarization with TensorFlow,How Netflix does A/B Testing - uxdesign.cc - User Experience Design
50,764116021156146784,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Google employees are adding 'Lady' to their job titles to fight sexism,Jury finds Google's implementation of Java in Android was fair use,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",Front in BH 2016
51,1738052593226421681,Como resolver conflitos no ambiente corporativo us,Investimentos em coaching e mentoring aumentam nas empresas,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,How to augment your career with leadership coaching,Cinco competências comportamentais para você ser um bom líder,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor
52,-1981734999963962468,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Spark comparison: AWS vs. GCP,Google lags behind Amazon and Microsoft's cloud in one important area,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Google's Cloud Machine Learning service is now in public beta
53,5530820581773167955,Mulheres são mais criativas que homens?,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,A importância dos filmes de mulherzinha - Capitolina,Empresa britânica adota licença remunerada no período menstrual,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Google employees are adding 'Lady' to their job titles to fight sexism
54,-5410531116380081703,Meet the new Brazilian consumer,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The sales secrets of high-growth companies,The economic essentials of digital strategy,The new tech talent you need to succeed in digital,Two Different Sales Motions . . . .
55,-2667874153709252756,Copel faz propaganda genial sobre o Limite de Banda Larga residencial - Critical Hits,Digital Health Coaching,A New Number Format for Computers Could Nuke Approximation Errors for Good,Facebook's WhatsApp does something very different than Google,"Pedágio das rodovias estaduais de SP sobe 9,32% na sexta-feira - O Liberal",What Google AMP Means for Every Marketer
56,374352050712569304,O tênue equilíbrio da equipe que desenha produtos digitais,Chatbots: Are they better without the chat?,#FinTech is all about human-centred design - Chris Skinner's blog,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Accenture amplia atuação no Brasil
57,8712996026808754180,19 Tips For Everyday Git Use,The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,Containers are not VMs,You don't talk about refactoring club,CSS Containment in Chrome 52 | Web Updates - Google Developers
58,7429409096643373334,Beyond Progressive Web Apps Part 2: We Need to Know What's New,Beyond Progressive Web Apps Part 1,Serverless Data Sync in Web Apps with Bit Torrent,Programming by poking: why MIT stopped teaching SICP,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Announcing .NET Core 1.0
59,1854874463930846880,O dia em que tive mais medo de estar errada.,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,#Sentaquelávemtextão,A minha viagem à Maternidade #tetodomundo,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,As expectativas das mulheres da Geração Y são muitas
60,-3581194288660477595,The End Of Apple Man,How to Design a Walkthrough That Users Will Read,Why porting an iOS design to Android will not work,The Importance of Code Reviews,"Fresco, sim! - Android Dev BR",Google may be considering Swift for use on Android
61,-330801551666885085,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,What to Expect at WWDC 2016,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
62,18930987176089166,10 Multipurpose Material Design Themes to Make Your Projects 10 Times Better,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Como consumir conteúdo de qualidade em iOS - CocoaHeads BR,System Code Geeks are giving away a FREE Sublime Text Editor License
63,817145340976958200,Powering a more connected and collaborative enterprise,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,"Amazon open-sources its own deep learning software, DSSTNE",Why Google App Engine rocks: A Google engineer's take,Google's Cloud Machine Learning service is now in public beta,The AI business landscape
64,-5363263367015469934,Scala is the new golden child,Google's Cloud Machine Learning service is now in public beta,"The ""Joel Test"" for Data Science",Machine Learning Is No Longer Just for Experts,Spark comparison: AWS vs. GCP,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
65,-9019233957195913605,Berners-Lee quer criar outra Web,Clean Coder Blog,Anti-If: The missing patterns,Alecrim/AlecrimCoreData,Programming by poking: why MIT stopped teaching SICP,New MacBook Pro is not a Laptop for Developers Anymore
66,6062146090334604102,Serverless Data Sync in Web Apps with Bit Torrent,Cubr,Kubernetes,Eclipse Foundation Releases Neon,Beyond Progressive Web Apps Part 2: We Need to Know What's New,"Autofill: What web devs should know, but don't"
67,-1556169727291354289,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,Google researchers teach AIs to see the important parts of images - and tell you about them,Wide & Deep Learning: Better Together with TensorFlow,"Hello, TensorFlow!"
68,9215261273565326920,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",Joel on Software,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Alecrim/AlecrimCoreData
69,-1617279065634731389,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",What Color is Your Function?,Tech in Brazil is booming despite the country's political troubles,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br"
70,-9160910454530522563,"Apple's new file manager, APFS, is awesome",A New Number Format for Computers Could Nuke Approximation Errors for Good,CSS Containment in Chrome 52 | Web Updates - Google Developers,The End Of Apple Man,19 Tips For Everyday Git Use,Facebook's WhatsApp does something very different than Google
71,-2382583983070627054,Artificial intelligence produces realistic sounds that fool humans,Blaise Agüera y Arcas: How computers are learning to be creative,The return of the machinery question,How will bots make money? Here are 7 business models,The barbell effect of machine learning.,Two Different Sales Motions . . . .
72,1878784080584939832,What Apple's differential privacy means for your data and the future of machine learning,Joel on Software,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
73,-4700714777342103147,"Say goodbye to traditional customer segmentation "" Banking Technology",Mobile banking conquista o coração dos brasileiros,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento
74,2134259819148812594,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,As compras e os hábitos dos brasileiros no shopping | EXAME.com,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Não existe frete grátis!
75,-7463305179076477879,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Making open source data more available,The return of the machinery question,"No, Apple isn't the next BlackBerry - it's the next Microsoft",The barbell effect of machine learning.
76,2285214528595997209,Docker e .Net,Introduction to release engineering,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Our password hashing has no clothes,Bayer anuncia compra da Monsanto por US$ 66 bilhões,Microsoft expands its support for Docker containers
77,511891900317865118,Why porting an iOS design to Android will not work,How to Design a Walkthrough That Users Will Read,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Designing smart notifications,Alecrim/AlecrimCoreData,Up your app's sharing game with DirectShare - Google Developers
78,7395435905985567130,The AI business landscape,Text summarization with TensorFlow,"Hello, TensorFlow!",Making open source data more available,Why Google App Engine rocks: A Google engineer's take,"Amazon open-sources its own deep learning software, DSSTNE"
79,-4386371945374980231,Por que o Walmart não é Walmart no Brasil,Marketplace,Cia. Hering sincroniza diferentes marcas em um único portal de compras,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Não existe frete grátis!,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net"
80,2857117417189640073,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,A step-by-step guide to agile growth experiments,An operating model for company-wide agile development,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Why image recognition is about to transform business
81,6044362651232258738,Cinco competências comportamentais para você ser um bom líder,How to augment your career with leadership coaching,Investimentos em coaching e mentoring aumentam nas empresas,Como resolver conflitos no ambiente corporativo us,What Science Tells Us About Leadership Potential,"Para neurociência, motivação não é fator principal em mudança de hábitos"
82,1929674614667189969,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Two Different Sales Motions . . . .,An operating model for company-wide agile development,Staying one step ahead at Pixar: An interview with Ed Catmull,7 Questions to Ask Before Your Next Digital Transformation,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist
83,-3912939678517879962,Jury finds Google's implementation of Java in Android was fair use,Google's cloud platform is now a force to be reckoned with,9 Non-Threatening Leadership Strategies for Women,A minha viagem à Maternidade #tetodomundo,"An independent organization just ranked Google as the best cloud, beating Amazon",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters
84,-8813724423497152538,Itaú é pioneiro do blockchain,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Confused by blockchains? Revolution vs Evolution,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Banking Needs a Customer Experience Wake-Up Call
85,-730957269757756529,Por que a limitação da banda larga é uma forma de ignorar o futuro,"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live",Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,A importância dos filmes de mulherzinha - Capitolina,Google Cloud Platform sets a course for new horizons,"Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure"
86,1107739178195154647,Peças Translúcidas,How to finish 3D printed PLA objects,Lentes de contato inteligentes serão o wearable definitivo,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Laboratório da Disney cria robô que pula,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design
87,-6603351162010419903,VersionOne AgilelIVE™ Webinar Series| SAFe® Expert Webinar,"Agile is Dead, Long Live Continuous Delivery - Gradle",Kotlin no Backend (Parte 2) :: Concrete Solutions,Do you want Crappy Agile?,Changing change management,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene
88,-4754223659064624252,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,You don't talk about refactoring club,Promises | Web Fundamentals - Google Developers,Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,19 Tips For Everyday Git Use
89,-6457517220721978,Agronegócio mantém crescimento com tecnologia - inova.jor,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Este texto do Ranieri é a melhor coisa que você lerá hoje,Will blockchain drive the fourth Industrial Revolution?
90,-5756697018315640725,Being A Developer After 40 - Free Code Camp,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Ordering coffee in Italy: the 10 commandments,Joel on Software,Alecrim/AlecrimCoreData,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts"
91,-6840859460575237450,Este texto do Ranieri é a melhor coisa que você lerá hoje,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Will blockchain drive the fourth Industrial Revolution?,Agronegócio mantém crescimento com tecnologia - inova.jor
92,4296604388230897073,"No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia","No dia das mães, Avon lança campanha com mãe de jovem gay",Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,Netflix emociona com vídeo destacando personagens LGBT,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss","TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção"
